Algorithm                   , Input Type, Input Size (N), Average Time (s), Comparisons
Bubble Sort                 , Random    ,            100,         0.000408,        4950
Bubble Sort                 , Random    ,           1000,         0.052671,      499500
Bubble Sort                 , Random    ,          10000,         5.563103,    49995000
Bubble Sort                 , Random    ,          20000,        21.308142,   199990000
Bubble Sort                 , Random    ,           5000,         1.363916,    12497500
Bubble Sort                 , Sorted    ,            100,         0.000259,        4950
Bubble Sort                 , Sorted    ,           1000,         0.030679,      499500
Bubble Sort                 , Sorted    ,          10000,         3.472341,    49995000
Bubble Sort                 , Sorted    ,          20000,        13.274458,   199990000
Bubble Sort                 , Sorted    ,           5000,         0.853315,    12497500
Bubble Sort                 , Reverse   ,            100,         0.000486,        4950
Bubble Sort                 , Reverse   ,           1000,         0.060788,      499500
Bubble Sort                 , Reverse   ,          10000,         7.041592,    49995000
Bubble Sort                 , Reverse   ,          20000,        26.961454,   199990000
Bubble Sort                 , Reverse   ,           5000,         1.742705,    12497500
Selection Sort              , Random    ,            100,         0.000239,        4950
Selection Sort              , Random    ,           1000,         0.031020,      499500
Selection Sort              , Random    ,          10000,         2.719008,    49995000
Selection Sort              , Random    ,          20000,        10.854587,   199990000
Selection Sort              , Random    ,           5000,         0.668449,    12497500
Selection Sort              , Sorted    ,            100,         0.000210,        4950
Selection Sort              , Sorted    ,           1000,         0.025387,      499500
Selection Sort              , Sorted    ,          10000,         2.659935,    49995000
Selection Sort              , Sorted    ,          20000,        10.556036,   199990000
Selection Sort              , Sorted    ,           5000,         0.672158,    12497500
Selection Sort              , Reverse   ,            100,         0.000218,        4950
Selection Sort              , Reverse   ,           1000,         0.028345,      499500
Selection Sort              , Reverse   ,          10000,         2.816115,    49995000
Selection Sort              , Reverse   ,          20000,        11.150412,   199990000
Selection Sort              , Reverse   ,           5000,         0.704312,    12497500
Insertion Sort              , Random    ,            100,         0.000287,        2534
Insertion Sort              , Random    ,           1000,         0.029600,      255174
Insertion Sort              , Random    ,          10000,         2.731998,    24820668
Insertion Sort              , Random    ,          20000,        10.933045,    99094115
Insertion Sort              , Random    ,           5000,         0.680945,     6215100
Insertion Sort              , Sorted    ,            100,         0.000008,          99
Insertion Sort              , Sorted    ,           1000,         0.000108,         999
Insertion Sort              , Sorted    ,          10000,         0.001158,        9999
Insertion Sort              , Sorted    ,          20000,         0.002494,       19999
Insertion Sort              , Sorted    ,           5000,         0.000679,        4999
Insertion Sort              , Reverse   ,            100,         0.000528,        4950
Insertion Sort              , Reverse   ,           1000,         0.048607,      499500
Insertion Sort              , Reverse   ,          10000,         5.413447,    49995000
Insertion Sort              , Reverse   ,          20000,        22.058432,   199990000
Insertion Sort              , Reverse   ,           5000,         1.334518,    12497500
Merge Sort                  , Random    ,            100,         0.000141,         532
Merge Sort                  , Random    ,           1000,         0.001931,        8717
Merge Sort                  , Random    ,          10000,         0.027266,      120430
Merge Sort                  , Random    ,          20000,         0.053304,      260888
Merge Sort                  , Random    ,           5000,         0.011483,       55217
Merge Sort                  , Sorted    ,            100,         0.000103,         316
Merge Sort                  , Sorted    ,           1000,         0.001240,        4932
Merge Sort                  , Sorted    ,          10000,         0.015207,       64608
Merge Sort                  , Sorted    ,          20000,         0.036404,      139216
Merge Sort                  , Sorted    ,           5000,         0.007284,       29804
Merge Sort                  , Reverse   ,            100,         0.000098,         356
Merge Sort                  , Reverse   ,           1000,         0.001252,        5044
Merge Sort                  , Reverse   ,          10000,         0.015869,       69008
Merge Sort                  , Reverse   ,          20000,         0.033347,      148016
Merge Sort                  , Reverse   ,           5000,         0.007278,       32004
Heap Sort                   , Random    ,            100,         0.000166,        1022
Heap Sort                   , Random    ,           1000,         0.002907,       16831
Heap Sort                   , Random    ,          10000,         0.044583,      235439
Heap Sort                   , Random    ,          20000,         0.088277,      510677
Heap Sort                   , Random    ,           5000,         0.018209,      107676
Heap Sort                   , Sorted    ,            100,         0.000170,        1081
Heap Sort                   , Sorted    ,           1000,         0.002824,       17583
Heap Sort                   , Sorted    ,          10000,         0.040243,      244460
Heap Sort                   , Sorted    ,          20000,         0.095175,      529074
Heap Sort                   , Sorted    ,           5000,         0.018132,      112126
Heap Sort                   , Reverse   ,            100,         0.000146,         944
Heap Sort                   , Reverse   ,           1000,         0.002406,       15965
Heap Sort                   , Reverse   ,          10000,         0.035800,      226682
Heap Sort                   , Reverse   ,          20000,         0.078947,      493307
Heap Sort                   , Reverse   ,           5000,         0.016472,      103227
Radix Sort                  , Random    ,            100,         0.000122,         600
Radix Sort                  , Random    ,           1000,         0.001582,        6000
Radix Sort                  , Random    ,          10000,         0.014743,       60000
Radix Sort                  , Random    ,          20000,         0.042295,      140000
Radix Sort                  , Random    ,           5000,         0.007282,       30000
Radix Sort                  , Sorted    ,            100,         0.000038,         200
Radix Sort                  , Sorted    ,           1000,         0.000744,        3000
Radix Sort                  , Sorted    ,          10000,         0.009848,       40000
Radix Sort                  , Sorted    ,          20000,         0.038934,      140000
Radix Sort                  , Sorted    ,           5000,         0.004807,       20000
Radix Sort                  , Reverse   ,            100,         0.000054,         300
Radix Sort                  , Reverse   ,           1000,         0.000966,        4000
Radix Sort                  , Reverse   ,          10000,         0.012538,       50000
Radix Sort                  , Reverse   ,          20000,         0.033507,      140000
Radix Sort                  , Reverse   ,           5000,         0.004633,       20000
Quick Sort (Median of Three), Random    ,            100,         0.000087,         532
Quick Sort (Median of Three), Random    ,           1000,         0.001689,        9628
Quick Sort (Median of Three), Random    ,          10000,         0.022131,      131141
